Company,NSE Symbol,Sector,Industry,Market Cap (Cr),P/E,P/B,EPS Growth 1Y (%),EPS Growth 3Y (%),Profit Growth 1Y (%),Profit Growth 3Y (%),Revenue Growth (%),ROCE (%),ROE (%),ROA (%),OCF_PAT,Net_Debt_EBITDA,Debt/Equity,Current Ratio,Interest Coverage,CMP,50 DMA,200 DMA,1Y Return (%),3Y CAGR (%),5Y CAGR (%),FII Holding Change (%),DII Holding Change (%),Avg Daily Turnover (Cr)
Emami Ltd.,EMAMILTD,Fast Moving Consumer Goods,Household & Personal Products,17573.49,23.29861,6.0101213,-16.2,6.99,-3.87,6.62,14.899999999999999,28.59,,20.21,1.03,-0.01,0.06,2.31,77.02,402.6,407.43,451.03,-32.91,-2.54,,,,29.0
Emcure Pharmaceuticals Ltd.,EMCURE,Healthcare,Drug Manufacturers - Specialty & Generic,35280.51,34.909912,7.123053,41.9,18.34,35.67,20.21,22.8,25.1,,9.62,1.02,0.75,0.31,1.43,9.96,1860.0,1870.59,1616.5,26.53,,,,,32.81
Emmvee Photovoltaic Power Ltd.,EMMVEE,Capital Goods,Solar,22594.68,17.736414,6.1122246,73.7,410.24,193.09,394.42,51.300000000000004,34.8,,18.74,0.19,0.07,0.1,2.06,9.65,326.35,330.99,,,,,,,102.79
Engineers India Ltd.,ENGINERSIN,Construction,Engineering & Construction,14079.16,17.240192,4.487237,142.2,25.92,19.29,25.93,-5.800000000000001,28.08,,11.78,0.46,-0.08,0.53,1.3,423.83,250.5,238.42,216.09,33.77,20.89,,,,100.11
Eris Lifesciences Ltd.,ERIS,Healthcare,Drug Manufacturers - Specialty & Generic,18238.95,28.067818,4.6100817,18.8,17.26,76.07,17.47,12.6,15.72,,8.41,0.87,2.07,0.61,0.74,4.31,1316.1,1409.83,1423.52,-24.0,18.51,,,,16.92
Fertilisers and Chemicals Travancore Ltd.,FACT,Chemicals,Agricultural Inputs,58430.6,,42.263412,,,,,20.200000000000003,14.21,,-0.66,25.14,15.54,2.95,0.93,0.84,903.0,850.75,847.4,-10.65,23.92,,,,53.9
Finolex Cables Ltd.,FINCABLES,Capital Goods,Electrical Equipment & Parts,19236.71,23.46642,3.1618347,53.2,12.28,1.85,12.27,44.3,14.16,,10.21,0.07,-0.15,0.31,8.42,531.58,1257.8,1108.68,925.46,49.46,6.13,,,,54.01
Firstsource Solutions Ltd.,FSL,Services,Information Technology Services,18872.33,29.074469,4.303191,-1.7000000000000002,9.31,13.45,9.49,22.900000000000002,17.65,,7.24,1.8,1.93,0.67,0.79,5.68,273.3,264.83,272.89,-24.14,24.88,,,,70.71
Five-Star Business Finance Ltd.,FIVESTAR,Financial Services,Credit Services,14784.49,13.951253,2.0031917,1.7999999999999998,22.04,2.45,22.1,8.0,11.78,,6.96,-0.24,4.17,1.12,1.61,19.76,500.85,533.6,494.62,-13.94,-11.99,,,,80.83
Force Motors Ltd.,FORCEMOT,Automobile and Auto Components,Auto Manufacturers,22972.81,18.516356,5.5745316,22.8,108.48,51.31,108.48,6.2,33.8,,18.53,1.07,-0.46,0.0,1.87,465.94,17435.0,18175.2,19587.03,-13.56,99.82,,,,199.08
